title,skin_type1,skin_type2,skin_type3,skin_trouble1,skin_trouble2,skin_trouble3,skin_stim1,skin_stim2,skin_stim3,components,skin_type_result,skin_trouble_result
[7월 올영픽]마녀공장X미니언즈 비피다 바이옴 콤플렉스 앰플 30ml 더블 기획 (+쉐이커 키링),0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,"비피다발효용해물(66.94%),부틸렌글라이콜,비피다발효여과물(3.59%),락토바실러스발효용해물,락토코쿠스발효용해물,효모발효여과물,글리세린,나이아신아마이드,1,2-헥산다이올,락토바실러스/호박열매발효여과물,흑효모발효물,하이알루로닉애씨드,소듐하이알루로네이트,소듐하이알루로네이트크로스폴리머,소듐아세틸레이티드하이알루로네이트,하이드롤라이즈드소듐하이알루로네이트,포타슘하이알루로네이트,하이드롤라이즈드하이알루로닉애씨드,하이드록시프로필트라이모늄하이알루로네이트,에델바이스캘러스배양추출물,쿠티박테리움그라눌로숨발효추출여과물(5.115ppm),아시아티코사이드,아시아틱애씨드,마데카식애씨드,펜틸렌글라이콜,스쿠알란,하이드로제네이티드레시틴,카퍼트라이펩타이드-1,트로메타민,아세틸헥사펩타이드-8,프로판다이올,에틸헥실글리세린,덱스트린,정제수,카페인,벤질글라이콜,소듐파이테이트,하이드롤라이즈드알진,잔탄검,에피갈로카테킨갈레이트,카보머,꽈리꽃받침추출물,하이드롤라이즈드글라이코사미노글리칸,폴리글리세릴-10라우레이트,카카오씨추출물,아데노신",skin_type3,skin_trouble2
[한정기획] 에센허브 티트리 100 오일 10ml 1+1 한정기획 (10ml+10ml+면봉 50ea),17.0,17.0,67.0,0.0,100.0,0.0,17.0,67.0,17.0,"티트리잎오일,리모넨,리날룰",skin_type3,skin_trouble2
[7일특가]넘버즈인 1번 판토텐산 액티브 수딩크림 80ml+80ml 더블 기획,9.0,59.0,32.0,23.0,77.0,0.0,68.0,32.0,0.0,"정제수,부틸렌글라이콜,글리세린,나이아신아마이드,세틸에틸헥사노에이트,다이카프릴릴카보네이트,1,2-헥산다이올,펜틸렌글라이콜,비닐다이메티콘,병풀추출물,클로렐라불가리스추출물,도둑놈의지팡이뿌리추출물,인도멀구슬나무잎추출물,인도멀구슬나무꽃추출물,아이비고드열매추출물,홀리바질잎추출물,울금뿌리추출물,알로에베라꽃추출물,가지열매추출물,참산호말추출물,녹차추출물,병풀잎추출물,오카무라큰실말추출물,흰버드나무껍질추출물,약모밀추출물,커피콩추출물,베르가모트잎추출물,소나무잎추출물,알파-알부틴,아르간커넬오일,참깨오일,사발팜열매추출물,스페인감초뿌리추출물,카프릴릴메티콘,에리스리톨,판테놀,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,다이메티콘올,폴리메틸실세스퀴옥세인,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,글루코오스,트로메타민,실리카,프룩토올리고사카라이드,프룩토오스,에틸헥실글리세린,소듐파이테이트,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,카프릴릭/카프릭트라이글리세라이드,하이드로제네이티드레시틴,토코페롤,데실글루코사이드,판토테닉애씨드,폴리글리세릴-4카프레이트,폴리글리세릴-6카프릴레이트,징크피씨에이,메틸다이아이소프로필프로피온아마이드,베타-시토스테롤,잔탄검",skin_type2,skin_trouble2
[굿즈증정/1+1]닥터지 레드 블레미쉬 클리어 수딩 크림 70ml 1+1 기획,33.0,55.0,12.0,54.0,46.0,1.0,83.0,17.0,1.0,"정제수,글리세린,부틸렌글라이콜,다이카프릴릴에터,나이아신아마이드,1,2-헥산다이올,하이드로제네이티드폴리데센,펜틸렌글라이콜,다이카프릴릴카보네이트,비닐다이메티콘,카프릴릴메티콘,하이드록시에틸아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,판테놀,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,다이메티콘올,폴리메틸실세스퀴옥세인,트로메타민,다이포타슘글리시리제이트,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,에틸헥실글리세린,잔탄검,병풀잎추출물,프룩토올리고사카라이드,소듐파이테이트,알란토인,락토바실러스발효물,락토바실러스/콩발효추출물,류코노스톡/무발효여과물,효모발효추출물,토코페롤,에피갈로카테킨갈레이트,마데카소사이드,베타-글루칸,병풀추출물,아시아티코사이드,마데카식애씨드,아시아틱애씨드",skin_type2,skin_trouble1
[변우석PICK] 피지오겔 시카밸런스 세럼 50ml+시카밸런스 크림 10ml+시카밸런스 폼 20ml,23.0,55.0,23.0,34.0,62.0,4.0,79.0,21.0,0.0,"정제수 다이프로필렌글라이콜 글리세린 1,2-헥산다이올 나이아신아마이드 판테놀 C15-19알케인 세린 암모늄아크릴로일다이메틸타우레이트/브이피코폴리머 트라이에틸헥사노인 운데케인 카르니틴 트로메타민 부틸렌글라이콜 아크릴레이트/C10-30알킬아크릴레이트크로스폴리머 코코-카프릴레이트/카프레이트 카프릴릭/카프릭트라이글리세라이드 아스코빌글루코사이드 살리실릭애씨드 스클레로튬검 트라이데케인 세테아릴알코올 리놀레익애씨드 아라키딜알코올 스쿠알란 베헤닐알코올 시어버터 피토스테릴/이소스테아릴/세틸/스테아릴/베헤닐다이머디리놀리에이트 마데카소사이드(250ppm) 리놀레닉애씨드 프로판다이올 트라이소듐이디티에이 아라키딜글루코사이드 알지닌 하이드로제네이티드레시틴 하이드롤라이즈드하이알루로닉애씨드 사코신 실리카 소듐하이알루로네이트 아세타마이드엠이에이 시트릭애씨드 베타-글루칸 다이메티콘 세라마이드엔피 콜레스테롤 토코페롤 카보머 팔미틱애씨드 스테아릭애씨드 잔탄검 팔미타마이드엠이에이 아시아티코사이드(0.4ppm) 마데카식애씨드(0.35ppm) 아시아틱애씨드(0.25ppm)",skin_type2,skin_trouble2
[7일특가]넘버즈인 1번 판토텐산 수딩세럼 50ml 리필기획(50ml+50ml),28.0,50.0,22.0,36.0,61.0,3.0,78.0,19.0,3.0,"정제수,부틸렌글라이콜,나이아신아마이드,글리세린,다이프로필렌글라이콜,1,2-헥산다이올,판테놀,도둑놈의지팡이뿌리추출물,아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,프로판다이올,다이에톡시에틸석시네이트,트로메타민,하이드로제네이티드레시틴,암모늄아크릴로일다이메틸타우레이트/브이피코폴리머,베타인,판토테닉애씨드,트레할로오스,에틸헥실글리세린,글리세릴올리에이트,소듐파이테이트,알란토인,알파-알부틴,약모밀추출물,라우릴글루코사이드,미리스틸글루코사이드,폴리글리세릴-6라우레이트,징크피씨에이,인도멀구슬나무잎추출물,토코페롤,감초뿌리추출물,인도멀구슬나무꽃추출물,아이비고드열매추출물,병풀추출물,소듐하이알루로네이트,시트릭애씨드,가지열매추출물,베타-글루칸,홀리바질잎추출물,하이알루로닉애씨드,데실글루코사이드,울금뿌리추출물,참산호말추출물,다이포타슘글리시리제이트,하이드롤라이즈드하이알루로닉애씨드,호호바씨오일,녹차추출물,병풀잎추출물,오카무라큰실말추출물,흰버드나무껍질추출물,소듐아세틸레이티드하이알루로네이트,커피콩추출물,베타-시토스테롤,폴리글리세릴-10스테아레이트,베르가모트잎추출물,소나무잎추출물",skin_type2,skin_trouble2
[일주일특가] 디마르3 시그니처 에스투드 프로텍터 대용량 모공 앰플 170ml,33.0,59.0,8.0,57.0,25.0,19.0,72.0,26.0,2.0,"병풀추출물,글리세린,메틸프로판다이올,글리세레스-26,정제수,1,2-헥산다이올,나이아신아마이드,베타인,에탄올,트레할로오스,판테놀,소듐하이알루로네이트,세라마이드엔피,페루기네움철쭉추출물,에델바이스꽃/잎추출물,엘더꽃추출물,노티드랙추출물,당아욱꽃/잎/줄기추출물,레이디스맨틀꽃/잎/줄기추출물,레몬밤잎추출물,페퍼민트잎추출물,서양톱풀꽃/잎/줄기추출물,스피드웰꽃/잎/줄기추출물,카우슬립꽃추출물,락토바실러스/콩발효추출물,오레가노잎추출물,편백잎추출물,흰버드나무껍질추출물,육계나무껍질추출물,쇠비름추출물,황금추출물,월귤잎추출물,소엽맥문동뿌리추출물,무화과추출물,피토스핑고신,아데노신,하이드로제네이티드레시틴,폴리글리세릴-10라우레이트,카보머,트로메타민,셀룰로오스검,글리세릴폴리메타크릴레이트,다이소듐이디티에이,카라멜,프로필렌글라이콜,말토덱스트린,아라비아고무나무검,시트릭애씨드,화산재,다이소듐포스페이트,향료,펜틸렌글라이콜,카프릴릴글라이콜,에틸헥실글리세린,소듐벤조에이트,포타슘솔베이트,리날룰",skin_type2,skin_trouble1
[일주일특가] 디마르3 시그니처 에스투드 프로텍터 모공 앰플 30ml,25.0,66.0,9.0,42.0,34.0,24.0,67.0,33.0,1.0,"병풀추출물,글리세린,메틸프로판다이올,글리세레스-26,정제수,1,2-헥산다이올,나이아신아마이드,베타인,에탄올,트레할로오스,판테놀,소듐하이알루로네이트,세라마이드엔피,페루기네움철쭉추출물,에델바이스꽃/잎추출물,엘더꽃추출물,노티드랙추출물,당아욱꽃/잎/줄기추출물,레이디스맨틀꽃/잎/줄기추출물,레몬밤잎추출물,페퍼민트잎추출물,서양톱풀꽃/잎/줄기추출물,스피드웰꽃/잎/줄기추출물,카우슬립꽃추출물,락토바실러스/콩발효추출물,오레가노잎추출물,편백잎추출물,흰버드나무껍질추출물,육계나무껍질추출물,쇠비름추출물,황금추출물,월귤잎추출물,소엽맥문동뿌리추출물,무화과추출물,피토스핑고신,아데노신,하이드로제네이티드레시틴,폴리글리세릴-10라우레이트,카보머,트로메타민,셀룰로오스검,글리세릴폴리메타크릴레이트,다이소듐이디티에이,카라멜,프로필렌글라이콜,말토덱스트린,아라비아고무나무검,시트릭애씨드,화산재,다이소듐포스페이트,향료,펜틸렌글라이콜,카프릴릴글라이콜,에틸헥실글리세린,소듐벤조에이트,포타슘솔베이트,리날룰",skin_type2,skin_trouble1
[아랑Pick] VT 리들샷 100 에센스 50ml 기획/단품,21.0,64.0,15.0,24.0,40.0,37.0,14.0,32.0,55.0,"정제수,다이프로필렌글라이콜,글리세린,나이아신아마이드,부틸렌글라이콜,마카다미아씨오일,1,2-헥산다이올,에틸헥실팔미테이트,소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴리머,폴리아이소부텐,실리카,글리세레스-26,에틸헥실글리세린,카프릴릴글라이콜,아데노신,소듐폴리아크릴레이트,소듐하이알루로네이트,병풀추출물,카프릴릴/카프릴글루코사이드,솔비탄올리에이트,잔탄검,프로폴리스추출물,아시아티코사이드,마데카소사이드,마데카식애씨드,아시아틱애씨드,글라이신,세린,글루타믹애씨드,아스파틱애씨드,류신,알라닌,라이신,알지닌,타이로신,페닐알라닌,트레오닌,프롤린,발린,아이소류신,히스티딘,메티오닌,시스테인",skin_type2,skin_trouble2
라로슈포제 시카플라스트 밤 B5+ 100ml 기획 (+3ml 추가증정),63.0,25.0,13.0,50.0,50.0,0.0,88.0,13.0,0.0,정제수하이드로제네이티드폴리아이소부텐다이메티콘글리세린시어버터판테놀옥수수전분프로판다이올부틸렌글라이콜세틸피이지/피피지-10/1다이메티콘트라이하이드록시스테아린병풀잎추출물야콘뿌리즙징크글루코네이트마데카소사이드망가니즈글루코네이트알파-글루칸올리고사카라이드실리카알루미늄하이드록사이드마그네슘설페이트만노오스카프릴로일글라이신카프릴릴글라이콜비트레오스실라발효물시트릭애씨드트라이소듐에틸렌다이아민다이석시네이트락토바실러스아세틸레이티드글라이콜스테아레이트말토덱스트린폴리글리세릴-4아이소스테아레이트토코페롤펜타에리스리틸테트라-다이-t-부틸하이드록시하이드로신나메이트티타늄디옥사이드,skin_type1,skin_trouble1
